[2021/2/22 - 18:35:38] Miles_Nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 18:35:52] Miles_Nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has been kicked/banned.
[2021/2/22 - 18:37:31] Miles_Nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 18:39:23] dat_cuto (ID: 1 | SQL ID: 506 | Level: 1 | IP: 14.237.154.19) has timed out.
[2021/2/22 - 18:41:40] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has been kicked/banned.
[2021/2/22 - 18:42:40] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has logged in.
[2021/2/22 - 18:45:35] Miles_Nguyen (ID: 2 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 19:12:35] Albus_Dumbledore (ID: 0 | SQL ID: 505 | Level: 1 | IP: 125.235.227.42) has timed out.
[2021/2/22 - 20:51:41] Miles_Nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 21:05:43] Miles_Nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has timed out.
[2021/2/22 - 21:13:46] miles_nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has logged in.
[2021/2/22 - 21:20:11] miles_nguyen (ID: 0 | SQL ID: 498 | Level: 1 | IP: 27.68.163.180) has disconnected.
[2021/2/22 - 21:42:11] Van_Dat (ID: 0 | SQL ID: 507 | Level: 1 | IP: 14.237.154.19) has logged in.
[2021/2/22 - 21:57:01] Van_Dat (ID: 0 | SQL ID: 507 | Level: 1 | IP: 14.237.154.19) has timed out.
[2021/2/23 - 0:15:14] ntv_pool (ID: 1 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/23 - 0:16:47] Liem_Bean (ID: 0 | SQL ID: 497 | Level: 1 | IP: 171.251.235.225) has logged in.
[2021/2/23 - 0:20:19] John_vjppro (ID: 2 | SQL ID: 498 | Level: 1 | IP: 125.235.227.42) has logged in.
[2021/2/23 - 0:22:48] Liem_Bean (ID: 0 | SQL ID: 497 | Level: 1 | IP: 171.251.235.225) has timed out.
[2021/2/23 - 0:25:16] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/23 - 0:44:34] VVan_Dat (ID: 3 | SQL ID: 500 | Level: 1 | IP: 14.237.154.19) has logged in.
[2021/2/23 - 0:47:28] ntv_pool (ID: 1 | SQL ID: 494 | Level: 1 | IP: 171.233.202.81) has timed out.
[2021/2/23 - 0:50:30] Liem_Bean (ID: 1 | SQL ID: 497 | Level: 1 | IP: 171.251.235.225) has logged in.
[2021/2/23 - 1:03:03] Liem_Bean (ID: 1 | SQL ID: 497 | Level: 100 | IP: 171.251.235.225) has timed out.
[2021/2/23 - 1:04:20] John_vjppro (ID: 2 | SQL ID: 498 | Level: 1 | IP: 125.235.227.42) has timed out.
[2021/2/23 - 1:04:30] John_vjppro (ID: 1 | SQL ID: 498 | Level: 1 | IP: 125.235.227.42) has logged in.
[2021/2/23 - 1:09:53] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.246.177.38) has disconnected.
[2021/2/23 - 1:10:34] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 1 | IP: 171.246.177.38) has logged in.
[2021/2/23 - 1:13:33] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has timed out.
[2021/2/23 - 1:13:41] ntv_ntv (ID: 2 | SQL ID: 501 | Level: 1 | IP: 171.233.202.81) has logged in.
[2021/2/23 - 1:13:57] ntv_ntv (ID: 2 | SQL ID: 501 | Level: 1 | IP: 171.233.202.81) has timed out.
[2021/2/23 - 1:13:59] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has logged in.
[2021/2/23 - 1:16:09] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has timed out.
[2021/2/23 - 1:18:18] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has logged in.
[2021/2/23 - 1:19:44] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has logged in.
[2021/2/23 - 1:23:23] VVan_Dat (ID: 3 | SQL ID: 500 | Level: 1 | IP: 14.237.154.19) has timed out.
[2021/2/23 - 1:23:47] VVan_Dat (ID: 3 | SQL ID: 500 | Level: 1 | IP: 14.237.154.19) has logged in.
[2021/2/23 - 1:26:12] Miles_Nguyen (ID: 4 | SQL ID: 503 | Level: 1 | IP: 171.253.177.47) has logged in.
[2021/2/23 - 1:27:20] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 3 | IP: 171.246.177.38) has timed out.
[2021/2/23 - 1:27:36] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 3 | IP: 171.246.177.38) has logged in.
[2021/2/23 - 1:29:40] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has timed out.
[2021/2/23 - 1:30:18] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has logged in.
[2021/2/23 - 1:33:08] Miles_Nguyen (ID: 4 | SQL ID: 503 | Level: 1 | IP: 171.253.177.47) has timed out.
[2021/2/23 - 1:37:07] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has timed out.
[2021/2/23 - 1:37:41] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has logged in.
[2021/2/23 - 1:44:40] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has timed out.
[2021/2/23 - 1:45:04] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has logged in.
[2021/2/23 - 2:01:38] John_vjppro (ID: 1 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has been kicked/banned.
[2021/2/23 - 2:10:35] Peww_Peww (ID: 0 | SQL ID: 499 | Level: 3 | IP: 171.246.177.38) has disconnected.
[2021/2/23 - 2:10:57] Matthus_X (ID: 2 | SQL ID: 502 | Level: 1 | IP: 42.112.158.92) has timed out.
[2021/2/23 - 2:13:54] VVan_Dat (ID: 3 | SQL ID: 500 | Level: 1 | IP: 14.237.154.19) has timed out.
[2021/2/23 - 4:56:11] john_vjppro (ID: 0 | SQL ID: 498 | Level: 3 | IP: 125.235.227.42) has logged in.
